time,lon,lat,height,hmsl,veln,vele,veld,gspeed,num_sv,time_s
2025-05-31 15:59:00,-117.8092967,35.346736,597.732,627.764,0.034,-0.002,0.038,0.034,27,-40.0
2025-05-31 15:59:00,-117.8092967,35.346736,597.725,627.758,-0.015,0.017,0.038,0.023,27,-40.0
2025-05-31 15:59:00,-117.8092967,35.346736,597.72,627.752,0.017,0.007,-0.026,0.018,27,-40.0
2025-05-31 15:59:00,-117.8092967,35.3467361,597.715,627.748,0.009,0.027,0.026,0.028,27,-40.0
2025-05-31 15:59:00,-117.8092967,35.3467361,597.705,627.737,-0.019,0.004,0.052,0.019,27,-40.0
2025-05-31 15:59:00,-117.8092967,35.3467361,597.699,627.732,0.028,0.0,0.012,0.028,27,-40.0
2025-05-31 15:59:00,-117.8092967,35.3467361,597.695,627.727,0.017,-0.001,0.01,0.017,27,-40.0
2025-05-31 15:59:00,-117.8092967,35.3467361,597.697,627.729,-0.018,0.004,0.024,0.018,27,-40.0
2025-05-31 15:59:00,-117.8092967,35.3467361,597.688,627.72,0.03,0.011,0.017,0.032,27,-40.0
2025-05-31 15:59:00,-117.8092967,35.3467361,597.683,627.716,0.012,0.02,0.028,0.024,27,-40.0
2025-05-31 15:59:01,-117.8092967,35.3467362,597.679,627.712,0.028,-0.015,-0.008,0.032,27,-39.0
2025-05-31 15:59:01,-117.8092967,35.3467362,597.675,627.708,-0.012,0.014,0.046,0.019,27,-39.0
2025-05-31 15:59:01,-117.8092967,35.3467362,597.667,627.7,-0.017,0.003,-0.055,0.017,27,-39.0
2025-05-31 15:59:01,-117.8092967,35.3467362,597.666,627.698,0.012,0.016,0.029,0.02,27,-39.0
2025-05-31 15:59:01,-117.8092966,35.3467362,597.664,627.696,0.012,0.023,0.037,0.026,27,-39.0
2025-05-31 15:59:01,-117.8092966,35.3467362,597.658,627.69,-0.012,-0.02,-0.04,0.024,27,-39.0
2025-05-31 15:59:01,-117.8092966,35.3467362,597.661,627.693,0.006,0.027,0.023,0.027,27,-39.0
2025-05-31 15:59:01,-117.8092966,35.3467362,597.654,627.686,0.015,0.023,0.044,0.027,27,-39.0
2025-05-31 15:59:01,-117.8092966,35.3467362,597.649,627.682,-0.02,0.004,0.01,0.02,27,-39.0
2025-05-31 15:59:01,-117.8092966,35.3467362,597.644,627.677,0.029,-0.004,-0.001,0.03,27,-39.0
2025-05-31 15:59:02,-117.8092966,35.3467363,597.637,627.669,0.017,-0.01,0.032,0.02,27,-38.0
2025-05-31 15:59:02,-117.8092966,35.3467363,597.635,627.667,-0.019,0.019,0.052,0.027,27,-38.0
2025-05-31 15:59:02,-117.8092966,35.3467363,597.628,627.661,-0.004,-0.003,0.034,0.005,27,-38.0
2025-05-31 15:59:02,-117.8092965,35.3467363,597.619,627.652,0.024,0.018,-0.002,0.03,27,-38.0
2025-05-31 15:59:02,-117.8092965,35.3467363,597.616,627.649,-0.017,-0.022,0.044,0.028,27,-38.0
2025-05-31 15:59:02,-117.8092965,35.3467363,597.609,627.642,0.014,0.022,0.042,0.026,27,-38.0
2025-05-31 15:59:02,-117.8092965,35.3467363,597.601,627.633,0.015,0.002,-0.012,0.015,27,-38.0
2025-05-31 15:59:02,-117.8092965,35.3467363,597.596,627.629,0.001,-0.005,0.032,0.005,27,-38.0
2025-05-31 15:59:02,-117.8092965,35.3467363,597.594,627.626,0.014,0.016,0.027,0.021,27,-38.0
2025-05-31 15:59:02,-117.8092965,35.3467363,597.598,627.63,0.036,0.024,0.02,0.044,27,-38.0
2025-05-31 15:59:03,-117.8092964,35.3467363,597.594,627.626,0.006,0.006,0.038,0.008,27,-37.0
2025-05-31 15:59:03,-117.8092964,35.3467363,597.592,627.625,0.018,-0.018,-0.005,0.025,27,-37.0
2025-05-31 15:59:03,-117.8092965,35.3467364,597.593,627.625,0.026,-0.029,-0.04,0.039,27,-37.0
2025-05-31 15:59:03,-117.8092965,35.3467364,597.594,627.626,-0.005,-0.003,0.03,0.005,27,-37.0
2025-05-31 15:59:03,-117.8092965,35.3467364,597.599,627.631,-0.001,0.026,0.054,0.026,27,-37.0
2025-05-31 15:59:03,-117.8092964,35.3467364,597.592,627.624,0.038,0.019,-0.007,0.042,27,-37.0
2025-05-31 15:59:03,-117.8092964,35.3467364,597.587,627.619,-0.006,0.005,0.088,0.008,27,-37.0
2025-05-31 15:59:03,-117.8092964,35.3467364,597.589,627.621,0.019,0.027,0.013,0.034,27,-37.0
2025-05-31 15:59:03,-117.8092964,35.3467365,597.586,627.618,0.007,-0.015,-0.018,0.017,27,-37.0
2025-05-31 15:59:03,-117.8092964,35.3467365,597.582,627.615,0.016,-0.01,0.012,0.019,27,-37.0
2025-05-31 15:59:04,-117.8092963,35.3467365,597.583,627.615,-0.01,0.019,0.028,0.022,27,-36.0
2025-05-31 15:59:04,-117.8092963,35.3467365,597.585,627.617,-0.01,0.022,0.008,0.025,27,-36.0
2025-05-31 15:59:04,-117.8092963,35.3467365,597.582,627.614,-0.002,0.001,0.06,0.002,27,-36.0
2025-05-31 15:59:04,-117.8092962,35.3467365,597.58,627.612,0.003,0.027,0.006,0.027,27,-36.0
2025-05-31 15:59:04,-117.8092962,35.3467365,597.579,627.611,0.022,-0.007,0.039,0.023,27,-36.0
2025-05-31 15:59:04,-117.8092962,35.3467365,597.571,627.604,0.001,-0.002,0.006,0.003,27,-36.0
2025-05-31 15:59:04,-117.8092962,35.3467365,597.57,627.602,-0.021,0.025,-0.028,0.033,27,-36.0
2025-05-31 15:59:04,-117.8092962,35.3467365,597.566,627.598,0.028,-0.014,0.072,0.031,27,-36.0
2025-05-31 15:59:04,-117.8092962,35.3467365,597.559,627.592,0.011,-0.011,0.046,0.016,27,-36.0
2025-05-31 15:59:04,-117.8092962,35.3467365,597.558,627.59,-0.016,0.034,-0.018,0.038,27,-36.0
2025-05-31 15:59:05,-117.8092961,35.3467365,597.559,627.591,0.03,0.016,0.048,0.034,27,-35.0
2025-05-31 15:59:05,-117.8092961,35.3467365,597.554,627.586,0.006,-0.025,0.037,0.025,27,-35.0
2025-05-31 15:59:05,-117.8092961,35.3467366,597.549,627.582,0.033,0.006,-0.025,0.034,27,-35.0
2025-05-31 15:59:05,-117.8092961,35.3467366,597.545,627.577,-0.014,0.011,-0.015,0.018,27,-35.0
2025-05-31 15:59:05,-117.809296,35.3467366,597.545,627.577,-0.019,-0.035,-0.007,0.04,27,-35.0
2025-05-31 15:59:05,-117.809296,35.3467366,597.539,627.572,0.014,0.001,0.036,0.014,27,-35.0
2025-05-31 15:59:05,-117.809296,35.3467365,597.534,627.566,-0.035,0.025,0.038,0.043,27,-35.0
2025-05-31 15:59:05,-117.809296,35.3467365,597.528,627.56,-0.012,-0.017,-0.055,0.021,27,-35.0
2025-05-31 15:59:05,-117.8092959,35.3467365,597.524,627.556,0.023,-0.006,0.02,0.024,27,-35.0
2025-05-31 15:59:05,-117.8092959,35.3467366,597.523,627.555,0.009,-0.018,-0.023,0.02,27,-35.0
2025-05-31 15:59:06,-117.8092959,35.3467366,597.522,627.554,-0.019,0.009,-0.033,0.021,27,-34.0
2025-05-31 15:59:06,-117.8092959,35.3467366,597.52,627.552,0.025,-0.021,0.042,0.033,27,-34.0
2025-05-31 15:59:06,-117.8092959,35.3467366,597.516,627.549,-0.016,0.012,0.029,0.02,27,-34.0
2025-05-31 15:59:06,-117.8092959,35.3467366,597.52,627.552,0.005,0.008,0.05,0.01,27,-34.0
2025-05-31 15:59:06,-117.8092959,35.3467367,597.513,627.546,-0.008,-0.005,-0.006,0.01,27,-34.0
2025-05-31 15:59:06,-117.8092958,35.3467367,597.514,627.546,-0.002,-0.006,-0.021,0.006,27,-34.0
2025-05-31 15:59:06,-117.8092958,35.3467366,597.511,627.544,-0.017,0.008,0.033,0.019,27,-34.0
2025-05-31 15:59:06,-117.8092958,35.3467366,597.504,627.536,-0.003,-0.001,-0.02,0.003,27,-34.0
2025-05-31 15:59:06,-117.8092958,35.3467367,597.501,627.534,-0.001,-0.003,0.012,0.003,27,-34.0
2025-05-31 15:59:06,-117.8092958,35.3467367,597.499,627.531,-0.005,0.001,0.0,0.005,27,-34.0
2025-05-31 15:59:07,-117.8092957,35.3467367,597.491,627.524,0.012,0.006,0.049,0.013,27,-33.0
2025-05-31 15:59:07,-117.8092957,35.3467367,597.48,627.513,-0.01,0.02,0.062,0.022,27,-33.0
2025-05-31 15:59:07,-117.8092957,35.3467367,597.469,627.501,0.004,-0.046,0.011,0.046,27,-33.0
2025-05-31 15:59:07,-117.8092957,35.3467367,597.459,627.491,-0.009,-0.002,0.032,0.009,27,-33.0
2025-05-31 15:59:07,-117.8092957,35.3467367,597.449,627.481,-0.004,-0.02,0.028,0.021,27,-33.0
2025-05-31 15:59:07,-117.8092957,35.3467367,597.445,627.477,0.007,0.009,0.017,0.012,27,-33.0
2025-05-31 15:59:07,-117.8092958,35.3467367,597.442,627.474,-0.002,-0.011,0.034,0.011,27,-33.0
2025-05-31 15:59:07,-117.8092958,35.3467368,597.443,627.475,-0.017,0.006,0.012,0.018,27,-33.0
2025-05-31 15:59:07,-117.8092957,35.3467368,597.438,627.471,0.011,0.01,0.062,0.015,27,-33.0
2025-05-31 15:59:07,-117.8092957,35.3467368,597.431,627.463,-0.002,-0.008,-0.029,0.008,27,-33.0
2025-05-31 15:59:08,-117.8092957,35.3467368,597.431,627.463,-0.005,0.003,0.001,0.006,27,-32.0
2025-05-31 15:59:08,-117.8092957,35.3467368,597.423,627.455,0.02,0.003,0.016,0.021,27,-32.0
2025-05-31 15:59:08,-117.8092957,35.3467368,597.418,627.451,-0.024,0.006,-0.023,0.025,27,-32.0
2025-05-31 15:59:08,-117.8092957,35.3467368,597.42,627.453,-0.021,0.01,-0.01,0.023,27,-32.0
2025-05-31 15:59:08,-117.8092956,35.3467368,597.411,627.443,-0.002,-0.017,0.051,0.017,27,-32.0
2025-05-31 15:59:08,-117.8092956,35.3467368,597.403,627.435,0.017,0.012,-0.009,0.021,27,-32.0
2025-05-31 15:59:08,-117.8092956,35.3467368,597.396,627.428,-0.021,-0.009,-0.028,0.022,27,-32.0
2025-05-31 15:59:08,-117.8092956,35.3467368,597.397,627.429,0.031,-0.003,-0.055,0.032,27,-32.0
2025-05-31 15:59:08,-117.8092956,35.3467368,597.392,627.424,-0.018,-0.02,0.009,0.027,27,-32.0
2025-05-31 15:59:08,-117.8092956,35.3467368,597.395,627.427,-0.016,0.001,-0.014,0.016,27,-32.0
2025-05-31 15:59:09,-117.8092956,35.3467368,597.395,627.427,0.013,0.045,0.003,0.047,27,-31.0
2025-05-31 15:59:09,-117.8092956,35.3467368,597.388,627.42,-0.005,-0.031,0.013,0.031,27,-31.0
2025-05-31 15:59:09,-117.8092956,35.3467369,597.389,627.422,0.007,-0.007,-0.018,0.01,27,-31.0
2025-05-31 15:59:09,-117.8092956,35.3467369,597.39,627.422,0.022,-0.005,-0.071,0.022,27,-31.0
2025-05-31 15:59:09,-117.8092956,35.3467369,597.389,627.422,-0.024,-0.035,-0.047,0.043,27,-31.0
2025-05-31 15:59:09,-117.8092956,35.3467369,597.386,627.418,-0.008,0.005,0.005,0.01,27,-31.0
2025-05-31 15:59:09,-117.8092956,35.3467369,597.383,627.416,0.013,-0.002,-0.068,0.013,27,-31.0
2025-05-31 15:59:09,-117.8092956,35.3467369,597.379,627.412,-0.007,-0.025,0.019,0.026,27,-31.0
2025-05-31 15:59:09,-117.8092956,35.3467369,597.372,627.404,-0.025,0.042,0.004,0.049,27,-31.0
2025-05-31 15:59:09,-117.8092956,35.3467369,597.365,627.397,0.018,-0.021,-0.003,0.028,27,-31.0
2025-05-31 15:59:10,-117.8092956,35.3467369,597.362,627.395,-0.019,-0.033,0.039,0.038,27,-30.0
2025-05-31 15:59:10,-117.8092956,35.3467369,597.36,627.393,0.023,0.003,-0.051,0.024,27,-30.0
2025-05-31 15:59:10,-117.8092956,35.3467369,597.36,627.392,0.017,0.03,-0.036,0.034,27,-30.0
2025-05-31 15:59:10,-117.8092956,35.3467369,597.36,627.392,-0.023,-0.025,0.046,0.034,27,-30.0
2025-05-31 15:59:10,-117.8092956,35.3467369,597.361,627.393,-0.049,-0.004,-0.033,0.049,27,-30.0
2025-05-31 15:59:10,-117.8092956,35.3467368,597.36,627.392,0.036,0.008,-0.05,0.037,27,-30.0
2025-05-31 15:59:10,-117.8092956,35.3467369,597.358,627.391,-0.032,-0.007,0.027,0.033,27,-30.0
2025-05-31 15:59:10,-117.8092956,35.3467368,597.353,627.385,-0.026,0.0,-0.033,0.026,27,-30.0
2025-05-31 15:59:10,-117.8092956,35.3467368,597.358,627.39,0.051,-0.012,-0.042,0.052,27,-30.0
2025-05-31 15:59:10,-117.8092956,35.3467368,597.359,627.392,-0.016,-0.01,-0.005,0.019,27,-30.0
2025-05-31 15:59:11,-117.8092956,35.3467369,597.36,627.393,0.021,0.012,-0.016,0.024,27,-29.0
2025-05-31 15:59:11,-117.8092955,35.3467369,597.36,627.393,0.01,0.013,0.015,0.016,27,-29.0
2025-05-31 15:59:11,-117.8092955,35.3467369,597.362,627.394,0.011,0.015,0.027,0.019,27,-29.0
2025-05-31 15:59:11,-117.8092955,35.3467369,597.359,627.391,-0.013,-0.008,-0.021,0.015,27,-29.0
2025-05-31 15:59:11,-117.8092955,35.3467368,597.36,627.392,-0.01,-0.007,-0.066,0.013,27,-29.0
2025-05-31 15:59:11,-117.8092955,35.3467368,597.362,627.394,0.012,0.0,0.002,0.012,27,-29.0
2025-05-31 15:59:11,-117.8092955,35.3467368,597.36,627.392,0.02,-0.018,-0.001,0.027,27,-29.0
2025-05-31 15:59:11,-117.8092954,35.3467368,597.363,627.396,-0.023,0.031,-0.009,0.038,27,-29.0
2025-05-31 15:59:11,-117.8092954,35.3467368,597.364,627.396,0.019,-0.017,0.005,0.026,27,-29.0
2025-05-31 15:59:11,-117.8092954,35.3467368,597.367,627.399,0.0,0.028,-0.017,0.028,27,-29.0
